EXP to Level:,Mortal:,Immortal:,Godly:,Being:,Common Increase,,Enemy EXP:,Tier-1:,"1,500",Tier-2:,"3,000",Tier-3:,"4,500",Boss-Tier:,"10,000",Increase:,123,246,369,"20,910"
,"2,089,125","2,089,625","2,090,625","2,091,625","22,750",,,,"2,072,328",,"4,144,656",,"6,216,984",,"352,050,760",,"22,632","45,264","67,896","3,847,440"
,"2,112,000","2,112,500","2,113,500","2,114,500","22,875",,,,"2,094,960",,"4,189,920",,"6,284,880",,"355,898,200",,"22,755","45,510","68,265","3,868,350"
,"2,135,000","2,135,500","2,136,500","2,137,500","23,000",,,,"2,117,715",,"4,235,430",,"6,353,145",,"359,766,550",,"22,878","45,756","68,634","3,889,260"
,"2,158,125","2,158,625","2,159,625","2,160,625","23,125",,,,"2,140,593",,"4,281,186",,"6,421,779",,"363,655,810",,"23,001","46,002","69,003","3,910,170"
,"2,181,375","2,181,875","2,182,875","2,183,875","23,250",,,,"2,163,594",,"4,327,188",,"6,490,782",,"367,565,980",,"23,124","46,248","69,372","3,931,080"
,"2,204,750","2,205,250","2,206,250","2,207,250","23,375",,,,"2,186,718",,"4,373,436",,"6,560,154",,"371,497,060",,"23,247","46,494","69,741","3,951,990"
,"2,228,250","2,228,750","2,229,750","2,230,750","23,500",,,,"2,209,965",,"4,419,930",,"6,629,895",,"375,449,050",,"23,370","46,740","70,110","3,972,900"
,"2,251,875","2,252,375","2,253,375","2,254,375","23,625",,,,"2,233,335",,"4,466,670",,"6,700,005",,"379,421,950",,"23,493","46,986","70,479","3,993,810"
,"2,275,625","2,276,125","2,277,125","2,278,125","23,750",,,,"2,256,828",,"4,513,656",,"6,770,484",,"383,415,760",,"23,616","47,232","70,848","4,014,720"
,"2,299,500","2,300,000","2,301,000","2,302,000","23,875",,,,"2,280,444",,"4,560,888",,"6,841,332",,"387,430,480",,"23,739","47,478","71,217","4,035,630"
,"2,323,500","2,324,000","2,325,000","2,326,000","24,000",,,,"2,304,183",,"4,608,366",,"6,912,549",,"391,466,110",,"23,862","47,724","71,586","4,056,540"
,"2,347,625","2,348,125","2,349,125","2,350,125","24,125",,,,"2,328,045",,"4,656,090",,"6,984,135",,"395,522,650",,"23,985","47,970","71,955","4,077,450"
,"2,371,875","2,372,375","2,373,375","2,374,375","24,250",,,,"2,352,030",,"4,704,060",,"7,056,090",,"399,600,100",,"24,108","48,216","72,324","4,098,360"
,"2,396,250","2,396,750","2,397,750","2,398,750","24,375",,,,"2,376,138",,"4,752,276",,"7,128,414",,"403,698,460",,"24,231","48,462","72,693","4,119,270"
,"2,420,750","2,421,250","2,422,250","2,423,250","24,500",,,,"2,400,369",,"4,800,738",,"7,201,107",,"407,817,730",,"24,354","48,708","73,062","4,140,180"
,"2,445,375","2,445,875","2,446,875","2,447,875","24,625",,,,"2,424,723",,"4,849,446",,"7,274,169",,"411,957,910",,"24,477","48,954","73,431","4,161,090"
,"2,470,125","2,470,625","2,471,625","2,472,625","24,750",,,,"2,449,200",,"4,898,400",,"7,347,600",,"416,119,000",,"24,600","49,200","73,800","4,182,000"
,"2,495,000","2,495,500","2,496,500","2,497,500","24,875",,,,"2,473,800",,"4,947,600",,"7,421,400",,"420,301,000",,"24,723","49,446","74,169","4,202,910"
,"2,520,000","2,520,500","2,521,500","2,522,500","25,000",,,,"2,498,523",,"4,997,046",,"7,495,569",,"424,503,910",,"24,846","49,692","74,538","4,223,820"
,"2,545,125","2,545,625","2,546,625","2,547,625","25,125",,,,"2,523,369",,"5,046,738",,"7,570,107",,"428,727,730",,"24,969","49,938","74,907","4,244,730"
,"2,570,375","2,570,875","2,571,875","2,572,875","25,250",,,,"2,548,338",,"5,096,676",,"7,645,014",,"432,972,460",,"25,092","50,184","75,276","4,265,640"
,"2,595,750","2,596,250","2,597,250","2,598,250","25,375",,,,"2,573,430",,"5,146,860",,"7,720,290",,"437,238,100",,"25,215","50,430","75,645","4,286,550"
,"2,621,250","2,621,750","2,622,750","2,623,750","25,500",,,,"2,598,645",,"5,197,290",,"7,795,935",,"441,524,650",,"25,338","50,676","76,014","4,307,460"
,"2,646,875","2,647,375","2,648,375","2,649,375","25,625",,,,"2,623,983",,"5,247,966",,"7,871,949",,"445,832,110",,"25,461","50,922","76,383","4,328,370"
,"2,672,625","2,673,125","2,674,125","2,675,125","25,750",,,,"2,649,444",,"5,298,888",,"7,948,332",,"450,160,480",,"25,584","51,168","76,752","4,349,280"
,"2,698,500","2,699,000","2,700,000","2,701,000","25,875",,,,"2,675,028",,"5,350,056",,"8,025,084",,"454,509,760",,"25,707","51,414","77,121","4,370,190"
,"2,724,500","2,725,000","2,726,000","2,727,000","26,000",,,,"2,700,735",,"5,401,470",,"8,102,205",,"458,879,950",,"25,830","51,660","77,490","4,391,100"
,"2,750,625","2,751,125","2,752,125","2,753,125","26,125",,,,"2,726,565",,"5,453,130",,"8,179,695",,"463,271,050",,"25,953","51,906","77,859","4,412,010"
,"2,776,875","2,777,375","2,778,375","2,779,375","26,250",,,,"2,752,518",,"5,505,036",,"8,257,554",,"467,683,060",,"26,076","52,152","78,228","4,432,920"
,"2,803,250","2,803,750","2,804,750","2,805,750","26,375",,,,"2,778,594",,"5,557,188",,"8,335,782",,"472,115,980",,"26,199","52,398","78,597","4,453,830"
,"2,829,750","2,830,250","2,831,250","2,832,250","26,500",,,,"2,804,793",,"5,609,586",,"8,414,379",,"476,569,810",,"26,322","52,644","78,966","4,474,740"
,"2,856,375","2,856,875","2,857,875","2,858,875","26,625",,,,"2,831,115",,"5,662,230",,"8,493,345",,"481,044,550",,"26,445","52,890","79,335","4,495,650"
,"2,883,125","2,883,625","2,884,625","2,885,625","26,750",,,,"2,857,560",,"5,715,120",,"8,572,680",,"485,540,200",,"26,568","53,136","79,704","4,516,560"
,"2,910,000","2,910,500","2,911,500","2,912,500","26,875",,,,"2,884,128",,"5,768,256",,"8,652,384",,"490,056,760",,"26,691","53,382","80,073","4,537,470"
,"2,937,000","2,937,500","2,938,500","2,939,500","27,000",,,,"2,910,819",,"5,821,638",,"8,732,457",,"494,594,230",,"26,814","53,628","80,442","4,558,380"
,"2,964,125","2,964,625","2,965,625","2,966,625","27,125",,,,"2,937,633",,"5,875,266",,"8,812,899",,"499,152,610",,"26,937","53,874","80,811","4,579,290"
,"2,991,375","2,991,875","2,992,875","2,993,875","27,250",,,,"2,964,570",,"5,929,140",,"8,893,710",,"503,731,900",,"27,060","54,120","81,180","4,600,200"
,"3,018,750","3,019,250","3,020,250","3,021,250","27,375",,,,"2,991,630",,"5,983,260",,"8,974,890",,"508,332,100",,"27,183","54,366","81,549","4,621,110"
,"3,046,250","3,046,750","3,047,750","3,048,750","27,500",,,,"3,018,813",,"6,037,626",,"9,056,439",,"512,953,210",,"27,306","54,612","81,918","4,642,020"
,"3,073,875","3,074,375","3,075,375","3,076,375","27,625",,,,"3,046,119",,"6,092,238",,"9,138,357",,"517,595,230",,"27,429","54,858","82,287","4,662,930"
,"3,101,625","3,102,125","3,103,125","3,104,125","27,750",,,,"3,073,548",,"6,147,096",,"9,220,644",,"522,258,160",,"27,552","55,104","82,656","4,683,840"
,"3,129,500","3,130,000","3,131,000","3,132,000","27,875",,,,"3,101,100",,"6,202,200",,"9,303,300",,"526,942,000",,"27,675","55,350","83,025","4,704,750"
,"3,157,500","3,158,000","3,159,000","3,160,000","28,000",,,,"3,128,775",,"6,257,550",,"9,386,325",,"531,646,750",,"27,798","55,596","83,394","4,725,660"
,"3,185,625","3,186,125","3,187,125","3,188,125","28,125",,,,"3,156,573",,"6,313,146",,"9,469,719",,"536,372,410",,"27,921","55,842","83,763","4,746,570"
,"3,213,875","3,214,375","3,215,375","3,216,375","28,250",,,,"3,184,494",,"6,368,988",,"9,553,482",,"541,118,980",,"28,044","56,088","84,132","4,767,480"
,"3,242,250","3,242,750","3,243,750","3,244,750","28,375",,,,"3,212,538",,"6,425,076",,"9,637,614",,"545,886,460",,"28,167","56,334","84,501","4,788,390"
,"3,270,750","3,271,250","3,272,250","3,273,250","28,500",,,,"3,240,705",,"6,481,410",,"9,722,115",,"550,674,850",,"28,290","56,580","84,870","4,809,300"
,"3,299,375","3,299,875","3,300,875","3,301,875","28,625",,,,"3,268,995",,"6,537,990",,"9,806,985",,"555,484,150",,"28,413","56,826","85,239","4,830,210"
,"3,328,125","3,328,625","3,329,625","3,330,625","28,750",,,,"3,297,408",,"6,594,816",,"9,892,224",,"560,314,360",,"28,536","57,072","85,608","4,851,120"
,"3,357,000","3,357,500","3,358,500","3,359,500","28,875",,,,"3,325,944",,"6,651,888",,"9,977,832",,"565,165,480",,"28,659","57,318","85,977","4,872,030"
,"3,386,000","3,386,500","3,387,500","3,388,500","29,000",,,,"3,354,603",,"6,709,206",,"10,063,809",,"570,037,510",,"28,782","57,564","86,346","4,892,940"
,"3,415,125","3,415,625","3,416,625","3,417,625","29,125",,,,"3,383,385",,"6,766,770",,"10,150,155",,"574,930,450",,"28,905","57,810","86,715","4,913,850"
,"3,444,375","3,444,875","3,445,875","3,446,875","29,250",,,,"3,412,290",,"6,824,580",,"10,236,870",,"579,844,300",,"29,028","58,056","87,084","4,934,760"
,"3,473,750","3,474,250","3,475,250","3,476,250","29,375",,,,"3,441,318",,"6,882,636",,"10,323,954",,"584,779,060",,"29,151","58,302","87,453","4,955,670"
,"3,503,250","3,503,750","3,504,750","3,505,750","29,500",,,,"3,470,469",,"6,940,938",,"10,411,407",,"589,734,730",,"29,274","58,548","87,822","4,976,580"
,"3,532,875","3,533,375","3,534,375","3,535,375","29,625",,,,"3,499,743",,"6,999,486",,"10,499,229",,"594,711,310",,"29,397","58,794","88,191","4,997,490"
,"3,562,625","3,563,125","3,564,125","3,565,125","29,750",,,,"3,529,140",,"7,058,280",,"10,587,420",,"599,708,800",,"29,520","59,040","88,560","5,018,400"
,"3,592,500","3,593,000","3,594,000","3,595,000","29,875",,,,"3,558,660",,"7,117,320",,"10,675,980",,"604,727,200",,"29,643","59,286","88,929","5,039,310"
,"3,622,500","3,623,000","3,624,000","3,625,000","30,000",,,,"3,588,303",,"7,176,606",,"10,764,909",,"609,766,510",,"29,766","59,532","89,298","5,060,220"
,"3,652,625","3,653,125","3,654,125","3,655,125","30,125",,,,"3,618,069",,"7,236,138",,"10,854,207",,"614,826,730",,"29,889","59,778","89,667","5,081,130"
,"3,682,875","3,683,375","3,684,375","3,685,375","30,250",,,,"3,647,958",,"7,295,916",,"10,943,874",,"619,907,860",,"30,012","60,024","90,036","5,102,040"
,"3,713,250","3,713,750","3,714,750","3,715,750","30,375",,,,"3,677,970",,"7,355,940",,"11,033,910",,"625,009,900",,"30,135","60,270","90,405","5,122,950"
,"3,743,750","3,744,250","3,745,250","3,746,250","30,500",,,,"3,708,105",,"7,416,210",,"11,124,315",,"630,132,850",,"30,258","60,516","90,774","5,143,860"
,"3,774,375","3,774,875","3,775,875","3,776,875","30,625",,,,"3,738,363",,"7,476,726",,"11,215,089",,"635,276,710",,"30,381","60,762","91,143","5,164,770"
,"3,805,125","3,805,625","3,806,625","3,807,625","30,750",,,,"3,768,744",,"7,537,488",,"11,306,232",,"640,441,480",,"30,504","61,008","91,512","5,185,680"
,"3,836,000","3,836,500","3,837,500","3,838,500","30,875",,,,"3,799,248",,"7,598,496",,"11,397,744",,"645,627,160",,"30,627","61,254","91,881","5,206,590"
,"3,867,000","3,867,500","3,868,500","3,869,500","31,000",,,,"3,829,875",,"7,659,750",,"11,489,625",,"650,833,750",,"30,750","61,500","92,250","5,227,500"
,"3,898,125","3,898,625","3,899,625","3,900,625","31,125",,,,"3,860,625",,"7,721,250",,"11,581,875",,"656,061,250",,"30,873","61,746","92,619","5,248,410"
,"3,929,375","3,929,875","3,930,875","3,931,875","31,250",,,,"3,891,498",,"7,782,996",,"11,674,494",,"661,309,660",,"30,996","61,992","92,988","5,269,320"
,"3,960,750","3,961,250","3,962,250","3,963,250","31,375",,,,"3,922,494",,"7,844,988",,"11,767,482",,"666,578,980",,"31,119","62,238","93,357","5,290,230"
,"3,992,250","3,992,750","3,993,750","3,994,750","31,500",,,,"3,953,613",,"7,907,226",,"11,860,839",,"671,869,210",,"31,242","62,484","93,726","5,311,140"
,"4,023,875","4,024,375","4,025,375","4,026,375","31,625",,,,"3,984,855",,"7,969,710",,"11,954,565",,"677,180,350",,"31,365","62,730","94,095","5,332,050"
,"4,055,625","4,056,125","4,057,125","4,058,125","31,750",,,,"4,016,220",,"8,032,440",,"12,048,660",,"682,512,400",,"31,488","62,976","94,464","5,352,960"
,"4,087,500","4,088,000","4,089,000","4,090,000","31,875",,,,"4,047,708",,"8,095,416",,"12,143,124",,"687,865,360",,"31,611","63,222","94,833","5,373,870"
,"4,119,500","4,120,000","4,121,000","4,122,000","32,000",,,,"4,079,319",,"8,158,638",,"12,237,957",,"693,239,230",,"31,734","63,468","95,202","5,394,780"
,"4,151,625","4,152,125","4,153,125","4,154,125","32,125",,,,"4,111,053",,"8,222,106",,"12,333,159",,"698,634,010",,"31,857","63,714","95,571","5,415,690"
,"4,183,875","4,184,375","4,185,375","4,186,375","32,250",,,,"4,142,910",,"8,285,820",,"12,428,730",,"704,049,700",,"31,980","63,960","95,940","5,436,600"
,"4,216,250","4,216,750","4,217,750","4,218,750","32,375",,,,"4,174,890",,"8,349,780",,"12,524,670",,"709,486,300",,"32,103","64,206","96,309","5,457,510"
,"4,248,750","4,249,250","4,250,250","4,251,250","32,500",,,,"4,206,993",,"8,413,986",,"12,620,979",,"714,943,810",,"32,226","64,452","96,678","5,478,420"
,"4,281,375","4,281,875","4,282,875","4,283,875","32,625",,,,"4,239,219",,"8,478,438",,"12,717,657",,"720,422,230",,"32,349","64,698","97,047","5,499,330"
,"4,314,125","4,314,625","4,315,625","4,316,625","32,750",,,,"4,271,568",,"8,543,136",,"12,814,704",,"725,921,560",,"32,472","64,944","97,416","5,520,240"
,"4,347,000","4,347,500","4,348,500","4,349,500","32,875",,,,"4,304,040",,"8,608,080",,"12,912,120",,"731,441,800",,"32,595","65,190","97,785","5,541,150"
,"4,380,000","4,380,500","4,381,500","4,382,500","33,000",,,,"4,336,635",,"8,673,270",,"13,009,905",,"736,982,950",,"32,718","65,436","98,154","5,562,060"
,"4,413,125","4,413,625","4,414,625","4,415,625","33,125",,,,"4,369,353",,"8,738,706",,"13,108,059",,"742,545,010",,"32,841","65,682","98,523","5,582,970"
,"4,446,375","4,446,875","4,447,875","4,448,875","33,250",,,,"4,402,194",,"8,804,388",,"13,206,582",,"748,127,980",,"32,964","65,928","98,892","5,603,880"
,"4,479,750","4,480,250","4,481,250","4,482,250","33,375",,,,"4,435,158",,"8,870,316",,"13,305,474",,"753,731,860",,"33,087","66,174","99,261","5,624,790"
,"4,513,250","4,513,750","4,514,750","4,515,750","33,500",,,,"4,468,245",,"8,936,490",,"13,404,735",,"759,356,650",,"33,210","66,420","99,630","5,645,700"
,"4,546,875","4,547,375","4,548,375","4,549,375","33,625",,,,"4,501,455",,"9,002,910",,"13,504,365",,"765,002,350",,"33,333","66,666","99,999","5,666,610"
,"4,580,625","4,581,125","4,582,125","4,583,125","33,750",,,,"4,534,788",,"9,069,576",,"13,604,364",,"770,668,960",,"33,456","66,912","100,368","5,687,520"
,"4,614,500","4,615,000","4,616,000","4,617,000","33,875",,,,"4,568,244",,"9,136,488",,"13,704,732",,"776,356,480",,"33,579","67,158","100,737","5,708,430"
,"4,648,500","4,649,000","4,650,000","4,651,000","34,000",,,,"4,601,823",,"9,203,646",,"13,805,469",,"782,064,910",,"33,702","67,404","101,106","5,729,340"
,"4,682,625","4,683,125","4,684,125","4,685,125","34,125",,,,"4,635,525",,"9,271,050",,"13,906,575",,"787,794,250",,"33,825","67,650","101,475","5,750,250"
,"4,716,875","4,717,375","4,718,375","4,719,375","34,250",,,,"4,669,350",,"9,338,700",,"14,008,050",,"793,544,500",,"33,948","67,896","101,844","5,771,160"
,"4,751,250","4,751,750","4,752,750","4,753,750","34,375",,,,"4,703,298",,"9,406,596",,"14,109,894",,"799,315,660",,"34,071","68,142","102,213","5,792,070"
,"4,785,750","4,786,250","4,787,250","4,788,250","34,500",,,,"4,737,369",,"9,474,738",,"14,212,107",,"805,107,730",,"34,194","68,388","102,582","5,812,980"
,"4,820,375","4,820,875","4,821,875","4,822,875","34,625",,,,"4,771,563",,"9,543,126",,"14,314,689",,"810,920,710",,"34,317","68,634","102,951","5,833,890"
,"4,855,125","4,855,625","4,856,625","4,857,625","34,750",,,,"4,805,880",,"9,611,760",,"14,417,640",,"816,754,600",,"34,440","68,880","103,320","5,854,800"
,"4,890,000","4,890,500","4,891,500","4,892,500","34,875",,,,"4,840,320",,"9,680,640",,"14,520,960",,"822,609,400",,"34,563","69,126","103,689","5,875,710"
,"4,925,000","4,925,500","4,926,500","4,927,500","35,000",,,,"4,874,883",,"9,749,766",,"14,624,649",,"828,485,110",,"34,686","69,372","104,058","5,896,620"
,"4,960,125","4,960,625","4,961,625","4,962,625","35,125",,,,"4,909,569",,"9,819,138",,"14,728,707",,"834,381,730",,"34,809","69,618","104,427","5,917,530"
,"4,995,375","4,995,875","4,996,875","4,997,875","35,250",,,,"4,944,378",,"9,888,756",,"14,833,134",,"840,299,260",,"34,932","69,864","104,796","5,938,440"
,"5,030,750","5,031,250","5,032,250","5,033,250","35,375",,,,"4,979,310",,"9,958,620",,"14,937,930",,"846,237,700",,"35,055","70,110","105,165","5,959,350"
,"5,066,250","5,066,750","5,067,750","5,068,750","35,500",,,,"5,014,365",,"10,028,730",,"15,043,095",,"852,197,050",,"35,178","70,356","105,534","5,980,260"
,"5,101,875","5,102,375","5,103,375","5,104,375","35,625",,,,"5,049,543",,"10,099,086",,"15,148,629",,"858,177,310",,"35,301","70,602","105,903","6,001,170"
,"5,137,625","5,138,125","5,139,125","5,140,125","35,750",,,,"5,084,844",,"10,169,688",,"15,254,532",,"864,178,480",,"35,424","70,848","106,272","6,022,080"
,"5,173,500","5,174,000","5,175,000","5,176,000","35,875",,,,"5,120,268",,"10,240,536",,"15,360,804",,"870,200,560",,"35,547","71,094","106,641","6,042,990"
,"5,209,500","5,210,000","5,211,000","5,212,000","36,000",,,,"5,155,815",,"10,311,630",,"15,467,445",,"876,243,550",,"35,670","71,340","107,010","6,063,900"
,"5,245,625","5,246,125","5,247,125","5,248,125","36,125",,,,"5,191,485",,"10,382,970",,"15,574,455",,"882,307,450",,"35,793","71,586","107,379","6,084,810"
,"5,281,875","5,282,375","5,283,375","5,284,375","36,250",,,,"5,227,278",,"10,454,556",,"15,681,834",,"888,392,260",,"35,916","71,832","107,748","6,105,720"
,"5,318,250","5,318,750","5,319,750","5,320,750","36,375",,,,"5,263,194",,"10,526,388",,"15,789,582",,"894,497,980",,"36,039","72,078","108,117","6,126,630"
,"5,354,750","5,355,250","5,356,250","5,357,250","36,500",,,,"5,299,233",,"10,598,466",,"15,897,699",,"900,624,610",,"36,162","72,324","108,486","6,147,540"
,"5,391,375","5,391,875","5,392,875","5,393,875","36,625",,,,"5,335,395",,"10,670,790",,"16,006,185",,"906,772,150",,"36,285","72,570","108,855","6,168,450"
,"5,428,125","5,428,625","5,429,625","5,430,625","36,750",,,,"5,371,680",,"10,743,360",,"16,115,040",,"912,940,600",,"36,408","72,816","109,224","6,189,360"
,"5,465,000","5,465,500","5,466,500","5,467,500","36,875",,,,"5,408,088",,"10,816,176",,"16,224,264",,"919,129,960",,"36,531","73,062","109,593","6,210,270"
,"5,502,000","5,502,500","5,503,500","5,504,500","37,000",,,,"5,444,619",,"10,889,238",,"16,333,857",,"925,340,230",,"36,654","73,308","109,962","6,231,180"
,"5,539,125","5,539,625","5,540,625","5,541,625","37,125",,,,"5,481,273",,"10,962,546",,"16,443,819",,"931,571,410",,"36,777","73,554","110,331","6,252,090"
,"5,576,375","5,576,875","5,577,875","5,578,875","37,250",,,,"5,518,050",,"11,036,100",,"16,554,150",,"937,823,500",,"36,900","73,800","110,700","6,273,000"
,"5,613,750","5,614,250","5,615,250","5,616,250","37,375",,,,"5,554,950",,"11,109,900",,"16,664,850",,"944,096,500",,"37,023","74,046","111,069","6,293,910"
,"5,651,250","5,651,750","5,652,750","5,653,750","37,500",,,,"5,591,973",,"11,183,946",,"16,775,919",,"950,390,410",,"37,146","74,292","111,438","6,314,820"
,"5,688,875","5,689,375","5,690,375","5,691,375","37,625",,,,"5,629,119",,"11,258,238",,"16,887,357",,"956,705,230",,"37,269","74,538","111,807","6,335,730"
,"5,726,625","5,727,125","5,728,125","5,729,125","37,750",,,,"5,666,388",,"11,332,776",,"16,999,164",,"963,040,960",,"37,392","74,784","112,176","6,356,640"
,"5,764,500","5,765,000","5,766,000","5,767,000","37,875",,,,"5,703,780",,"11,407,560",,"17,111,340",,"969,397,600",,"37,515","75,030","112,545","6,377,550"
,"5,802,500","5,803,000","5,804,000","5,805,000","38,000",,,,"5,741,295",,"11,482,590",,"17,223,885",,"975,775,150",,"37,638","75,276","112,914","6,398,460"
,"5,840,625","5,841,125","5,842,125","5,843,125","38,125",,,,"5,778,933",,"11,557,866",,"17,336,799",,"982,173,610",,"37,761","75,522","113,283","6,419,370"
,"5,878,875","5,879,375","5,880,375","5,881,375","38,250",,,,"5,816,694",,"11,633,388",,"17,450,082",,"988,592,980",,"37,884","75,768","113,652","6,440,280"
,"5,917,250","5,917,750","5,918,750","5,919,750","38,375",,,,"5,854,578",,"11,709,156",,"17,563,734",,"995,033,260",,"38,007","76,014","114,021","6,461,190"
,"5,955,750","5,956,250","5,957,250","5,958,250","38,500",,,,"5,892,585",,"11,785,170",,"17,677,755",,"1,001,494,450",,"38,130","76,260","114,390","6,482,100"
,"5,994,375","5,994,875","5,995,875","5,996,875","38,625",,,,"5,930,715",,"11,861,430",,"17,792,145",,"1,007,976,550",,"38,253","76,506","114,759","6,503,010"
,"6,033,125","6,033,625","6,034,625","6,035,625","38,750",,,,"5,968,968",,"11,937,936",,"17,906,904",,"1,014,479,560",,"38,376","76,752","115,128","6,523,920"
,"6,072,000","6,072,500","6,073,500","6,074,500","38,875",,,,"6,007,344",,"12,014,688",,"18,022,032",,"1,021,003,480",,"38,499","76,998","115,497","6,544,830"
,"6,111,000","6,111,500","6,112,500","6,113,500","39,000",,,,"6,045,843",,"12,091,686",,"18,137,529",,"1,027,548,310",,"38,622","77,244","115,866","6,565,740"
,"6,150,125","6,150,625","6,151,625","6,152,625","39,125",,,,"6,084,465",,"12,168,930",,"18,253,395",,"1,034,114,050",,"38,745","77,490","116,235","6,586,650"
,"6,189,375","6,189,875","6,190,875","6,191,875","39,250",,,,"6,123,210",,"12,246,420",,"18,369,630",,"1,040,700,700",,"38,868","77,736","116,604","6,607,560"
,"6,228,750","6,229,250","6,230,250","6,231,250","39,375",,,,"6,162,078",,"12,324,156",,"18,486,234",,"1,047,308,260",,"38,991","77,982","116,973","6,628,470"
,"6,268,250","6,268,750","6,269,750","6,270,750","39,500",,,,"6,201,069",,"12,402,138",,"18,603,207",,"1,053,936,730",,"39,114","78,228","117,342","6,649,380"
,"6,307,875","6,308,375","6,309,375","6,310,375","39,625",,,,"6,240,183",,"12,480,366",,"18,720,549",,"1,060,586,110",,"39,237","78,474","117,711","6,670,290"
,"6,347,625","6,348,125","6,349,125","6,350,125","39,750",,,,"6,279,420",,"12,558,840",,"18,838,260",,"1,067,256,400",,"39,360","78,720","118,080","6,691,200"
,"6,387,500","6,388,000","6,389,000","6,390,000","39,875",,,,"6,318,780",,"12,637,560",,"18,956,340",,"1,073,947,600",,"39,483","78,966","118,449","6,712,110"
,"6,427,500","6,428,000","6,429,000","6,430,000","40,000",,,,"6,358,263",,"12,716,526",,"19,074,789",,"1,080,659,710",,"39,606","79,212","118,818","6,733,020"
,"6,467,625","6,468,125","6,469,125","6,470,125","40,125",,,,"6,397,869",,"12,795,738",,"19,193,607",,"1,087,392,730",,"39,729","79,458","119,187","6,753,930"
,"6,507,875","6,508,375","6,509,375","6,510,375","40,250",,,,"6,437,598",,"12,875,196",,"19,312,794",,"1,094,146,660",,"39,852","79,704","119,556","6,774,840"
,"6,548,250","6,548,750","6,549,750","6,550,750","40,375",,,,"6,477,450",,"12,954,900",,"19,432,350",,"1,100,921,500",,"39,975","79,950","119,925","6,795,750"
,"6,588,750","6,589,250","6,590,250","6,591,250","40,500",,,,"6,517,425",,"13,034,850",,"19,552,275",,"1,107,717,250",,"40,098","80,196","120,294","6,816,660"
,"6,629,375","6,629,875","6,630,875","6,631,875","40,625",,,,"6,557,523",,"13,115,046",,"19,672,569",,"1,114,533,910",,"40,221","80,442","120,663","6,837,570"
,"6,670,125","6,670,625","6,671,625","6,672,625","40,750",,,,"6,597,744",,"13,195,488",,"19,793,232",,"1,121,371,480",,"40,344","80,688","121,032","6,858,480"
,"6,711,000","6,711,500","6,712,500","6,713,500","40,875",,,,"6,638,088",,"13,276,176",,"19,914,264",,"1,128,229,960",,"40,467","80,934","121,401","6,879,390"
,"6,752,000","6,752,500","6,753,500","6,754,500","41,000",,,,"6,678,555",,"13,357,110",,"20,035,665",,"1,135,109,350",,"40,590","81,180","121,770","6,900,300"
,"6,793,125","6,793,625","6,794,625","6,795,625","41,125",,,,"6,719,145",,"13,438,290",,"20,157,435",,"1,142,009,650",,"40,713","81,426","122,139","6,921,210"
,"6,834,375","6,834,875","6,835,875","6,836,875","41,250",,,,"6,759,858",,"13,519,716",,"20,279,574",,"1,148,930,860",,"40,836","81,672","122,508","6,942,120"
,"6,875,750","6,876,250","6,877,250","6,878,250","41,375",,,,"6,800,694",,"13,601,388",,"20,402,082",,"1,155,872,980",,"40,959","81,918","122,877","6,963,030"
,"6,917,250","6,917,750","6,918,750","6,919,750","41,500",,,,"6,841,653",,"13,683,306",,"20,524,959",,"1,162,836,010",,"41,082","82,164","123,246","6,983,940"
,"6,958,875","6,959,375","6,960,375","6,961,375","41,625",,,,"6,882,735",,"13,765,470",,"20,648,205",,"1,169,819,950",,"41,205","82,410","123,615","7,004,850"
,"7,000,625","7,001,125","7,002,125","7,003,125","41,750",,,,"6,923,940",,"13,847,880",,"20,771,820",,"1,176,824,800",,"41,328","82,656","123,984","7,025,760"
,"7,042,500","7,043,000","7,044,000","7,045,000","41,875",,,,"6,965,268",,"13,930,536",,"20,895,804",,"1,183,850,560",,"41,451","82,902","124,353","7,046,670"
,"7,084,500","7,085,000","7,086,000","7,087,000","42,000",,,,"7,006,719",,"14,013,438",,"21,020,157",,"1,190,897,230",,"41,574","83,148","124,722","7,067,580"
,"7,126,625","7,127,125","7,128,125","7,129,125","42,125",,,,"7,048,293",,"14,096,586",,"21,144,879",,"1,197,964,810",,"41,697","83,394","125,091","7,088,490"
,"7,168,875","7,169,375","7,170,375","7,171,375","42,250",,,,"7,089,990",,"14,179,980",,"21,269,970",,"1,205,053,300",,"41,820","83,640","125,460","7,109,400"
,"7,211,250","7,211,750","7,212,750","7,213,750","42,375",,,,"7,131,810",,"14,263,620",,"21,395,430",,"1,212,162,700",,"41,943","83,886","125,829","7,130,310"
,"7,253,750","7,254,250","7,255,250","7,256,250","42,500",,,,"7,173,753",,"14,347,506",,"21,521,259",,"1,219,293,010",,"42,066","84,132","126,198","7,151,220"
,"7,296,375","7,296,875","7,297,875","7,298,875","42,625",,,,"7,215,819",,"14,431,638",,"21,647,457",,"1,226,444,230",,"42,189","84,378","126,567","7,172,130"
,"7,339,125","7,339,625","7,340,625","7,341,625","42,750",,,,"7,258,008",,"14,516,016",,"21,774,024",,"1,233,616,360",,"42,312","84,624","126,936","7,193,040"
,"7,382,000","7,382,500","7,383,500","7,384,500","42,875",,,,"7,300,320",,"14,600,640",,"21,900,960",,"1,240,809,400",,"42,435","84,870","127,305","7,213,950"
